anime_id,mal_id,title,english_title,user_preferred_title,cover_image_large
187225,,LOS ANGELES LAKERS x ONE PIECE,,LOS ANGELES LAKERS x ONE PIECE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx187225-H0ppAOkOYMxM.jpg
185714,60666.0,Aldnoah.Zero (Re+),,Aldnoah.Zero (Re+),https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185714-YYhn41FIOfmM.jpg
162722,54717.0,Mahoutsukai Precure!! MIRAI DAYS,Witchy Precure!! ~MIRAI DAYS~,Mahoutsukai Precure!! MIRAI DAYS,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx162722-w30E3QgBvG7H.jpg
185261,60662.0,Neko ni Naritai Tamagawa-kun,,Neko ni Naritai Tamagawa-kun,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185261-hJehR0xUg9cf.jpg
162921,54769.0,Sousei no Aquarion: Myth of Emotions,AQUARION: Myth of Emotions,Sousei no Aquarion: Myth of Emotions,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx162921-ByoCP2VvLjeT.jpg
194403,60645.0,Boku no Hero Academia THE MOVIE: YOU'RE NEXT - A PIECE OF CAKE,,Boku no Hero Academia THE MOVIE: YOU'RE NEXT - A PIECE OF CAKE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx194403-kOJa1pMt3tjk.jpg
186559,60946.0,Kairyuu to Yuubinya-san,,Kairyuu to Yuubinya-san,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186559-yoHyJ6ROfrxT.jpg
186148,60749.0,Maomao no Hitorigoto 2nd Season,,Maomao no Hitorigoto 2nd Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b186148-Tx8InzoohmXs.png
167742,56135.0,UniteUp!: Uni:Birth,UniteUp! -Uni:Birth-,UniteUp!: Uni:Birth,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx167742-fFAj38cj7Wxo.png
185992,61271.0,NEET Kunoichi to Naze ka Dousei Hajimemashita OVAs,,NEET Kunoichi to Naze ka Dousei Hajimemashita OVAs,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185992-HL0It4J2Vn41.png
187236,60987.0,Princess Connect! Michibiki no Hatsuhana: Fiore Storia,,Princess Connect! Michibiki no Hatsuhana: Fiore Storia,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx187236-tFSyyAliXxLH.jpg
189160,61334.0,"Momentary Lily: Tsuzuite iku Kappou, Kappou!",Momentary Lily: Kappou On and On,"Momentary Lily: Tsuzuite iku Kappou, Kappou!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189160-JInwvQpGhkjT.jpg
185088,60410.0,Yami Shibai 14,Theatre of Darkness: Yamishibai 14,Yami Shibai 14,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185088-pY2KxbG0KIoO.jpg
185506,60553.0,Nonohara Yuka no Himitsu no Haishin,,Nonohara Yuka no Himitsu no Haishin,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185506-e6BT2M2TFz3i.png
179333,60629.0,"""1-punkan dake Furete mo Ii yo…"" Share House no Himitsu Rule.	",The Share House's Secret Rule,"""1-punkan dake Furete mo Ii yo…"" Share House no Himitsu Rule.	",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179333-BsQOchil1Q9g.png
185462,60425.0,0-saiji Start Dash Monogatari Season 2,HEAD START AT BIRTH - Season 2,0-saiji Start Dash Monogatari Season 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b185462-63GUMNU2RGUd.jpg
181886,59914.0,Kinnikuman: Kanpeki Choujin Shiso-hen Season 2,Kinnikuman Perfect Origin Arc Season 2,Kinnikuman: Kanpeki Choujin Shiso-hen Season 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181886-gEqtKp6Wt2U2.jpg
183602,60216.0,Kanojo Face THE ANIMATION,,Kanojo Face THE ANIMATION,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx183602-8yGvSxmilgjW.png
184810,60494.0,Immoral Routine The Animation,,Immoral Routine The Animation,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184810-BJhp0LMwWKpP.png
183741,60470.0,Nikuen,,Nikuen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx183741-eW11ec61Vg0T.png
186153,60784.0,Yuugao,,Yuugao,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186153-j5G9lBw43N69.png
185001,60390.0,Shiranai Koto Shiritai no? The Animation,,Shiranai Koto Shiritai no? The Animation,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185001-ueqGXlmN8iVe.png
182920,54144.0,Cardfight!! Vanguard: Divinez - Deluxe-hen,CARDFIGHT!! VANGUARD Divinez DELUXE Arc,Cardfight!! Vanguard: Divinez - Deluxe-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182920-kGMtP4dBBJBO.jpg
183743,60495.0,"Kan'ochi x Netorare Kazoku The Animation: Anata, Yurushite. Watakushitachi, Uwaki Sex ni Honki de Hamacchatta no",,"Kan'ochi x Netorare Kazoku The Animation: Anata, Yurushite. Watakushitachi, Uwaki Sex ni Honki de Hamacchatta no",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx183743-PWnF3dcpsu9M.png
187380,60790.0,"ONE PIECE: Original Episode/Luffy, Law",,"ONE PIECE: Original Episode/Luffy, Law",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx187380-RZmxpJyB3A6Y.jpg
179838,59406.0,Binan Koukou Chikyuu Bouei-bu ETERNAL LOVE!,,Binan Koukou Chikyuu Bouei-bu ETERNAL LOVE!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179838-qCOaqbhZ8eFX.jpg
183742,60720.0,Ajin ga Osuki nan desu ne♡,,Ajin ga Osuki nan desu ne♡,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx183742-WOUbrnj69mhF.png
186300,60480.0,minute! kaiju no. 8,minute! Kaiju No. 8,minute! kaiju no. 8,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b186300-py8AeW9MgfDS.jpg
187305,60273.0,Hypnosis Mic -Division Rap Battle- Movie,,Hypnosis Mic -Division Rap Battle- Movie,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx187305-Mzyh5PICkk9X.jpg
